SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532773,GLOBAL VECT ,T ,Q,93.75,93.75,93.75,93.75,93.75,98.65,13,1292,121125.00,
532774,INSPIRISYS  ,B ,Q,50.00,50.00,47.50,47.50,47.50,49.00,11,334,16104.00,
532775,GTL INFRAST ,T ,Q,0.91,0.91,0.86,0.89,0.90,0.90,91,585701,521195.00,
532776,SHIVAM AUTO ,B ,Q,35.30,37.05,34.90,35.95,36.40,35.85,90,6489,233214.00,
532777,INFO EDGE   ,A ,Q,1959.00,1975.40,1932.15,1960.90,1967.90,1937.50,378,3467,6776755.00,
532779,TORNT POWER ,A ,Q,249.05,258.00,249.05,257.20,258.00,252.55,408,20279,5172570.00,
532780,PARSVNATH   ,B ,Q,4.55,5.00,4.52,4.65,4.66,4.69,45,14708,69958.00,
532783,DAAWAT      ,B ,Q,34.95,34.95,34.10,34.50,34.50,34.35,170,37337,1287767.00,
532784,SOBHA       ,A ,Q,475.95,487.90,472.45,484.80,481.80,482.10,377,4399,2124357.00,
532785,RUCHIRA PAP ,B ,Q,98.00,98.00,93.20,93.65,93.55,94.95,86,1562,148618.00,
532787,ESS DEE ALUM,B ,Q,12.65,13.24,12.65,12.92,13.00,12.95,12,951,12315.00,
532790,TANLA       ,B ,Q,42.30,44.45,41.85,44.45,44.45,42.35,401,147966,6526163.00,
532794,ZEEMEDIA    ,B ,Q,14.80,14.98,14.60,14.64,14.70,14.80,210,52308,770367.00,
532795,SITINET     ,T ,Q,4.35,4.35,4.14,4.14,4.14,4.35,16,2035,8425.00,
532796,LUMAX TECH  ,B ,Q,121.00,125.45,119.25,121.45,121.45,122.60,109,3933,479582.00,
532797,AUTOIND     ,B ,Q,46.00,46.00,45.00,45.00,45.00,46.00,4,210,9585.00,
532798,NTWK MED INV,A ,Q,34.00,34.00,32.80,32.85,32.90,33.30,74,11641,385307.00,
532799,HUBTOWN     ,B ,Q,30.00,31.45,30.00,31.35,31.35,31.00,21,3014,93808.00,
532800,TV18BRDCST  ,A ,Q,31.50,31.80,31.00,31.10,31.10,31.35,470,230845,7229976.00,
532801,CAMBRIDGE   ,B ,Q,38.50,40.70,38.00,40.70,40.70,40.20,16,1424,55075.00,
532804,TECHNOCRAFT ,B ,Q,505.00,530.00,505.00,530.00,530.00,502.85,15,119,60120.00,
532805,REDINGTON   ,A ,Q,102.90,102.90,97.10,97.65,97.65,100.35,276,1724393,171231433.00,
532807,CINELINE    ,B ,Q,43.00,44.25,43.00,43.55,44.25,43.15,64,3784,165213.00,
532808,PGIL        ,B ,Q,164.00,165.00,163.00,163.00,163.00,163.00,6,200,32786.00,
532809,FSL         ,A ,Q,50.70,50.85,49.60,49.90,49.90,50.45,664,251375,12593584.00,
